situation,job,order,emotion,weather,people1,people2,people3
1,1,1,3,,1,0,
1,1,2,2,,1,0,
1,1,3,7,,1,0,
1,1,4,10,,1,0,
1,1,5,10,,1,0,
1,1,6,10,,1,0,
1,1,7,11,,1,0,
1,1,8,11,,1,0,
1,1,9,1,,1,0,
1,1,10,10,,1,0,
1,2,1,2,,1,0,
1,2,2,2,,1,0,
1,2,3,2,,1,0,
1,2,4,3,1,4,0,
1,2,5,3,1,4,0,
1,2,6,4,,4,0,
1,2,7,4,,4,0,
1,2,8,4,,2,4,
1,2,9,4,,2,4,
1,2,10,4,,4,0,
1,2,11,4,,2,4,
1,2,12,2,,2,0,
1,2,13,2,,1,0,
1,2,14,7,,1,0,
1,2,15,10,,1,0,
1,2,16,2,,1,0,
1,2,17,7,1,1,0,
1,2,18,10,1,1,0,
1,2,19,10,1,1,0,
1,2,20,2,1,1,0,
1,2,21,10,1,1,0,
1,2,22,10,1,2,4,
1,2,23,10,,2,0,
1,2,24,10,,1,0,
1,2,25,7,,1,0,
1,2,26,10,,1,0,
1,2,27,10,,1,0,
1,2,28,10,,1,0,
1,2,29,11,,2,0,
1,2,30,11,,1,0,
1,2,31,1,,4,0,
1,2,32,10,,1,0,
1,2,33,10,,1,0,
1,2,34,7,,1,0,
1,2,35,10,,1,0,
1,2,36,11,,1,0,
1,2,37,11,,1,0,
1,2,38,1,,4,0,
1,2,39,10,,1,0,
1,2,40,10,,1,0,
1,2,41,11,,1,0,
1,2,42,11,,1,0,
1,2,43,10,,1,0,
1,3,1,2,,2,0,
1,3,2,3,1,2,0,
1,3,3,2,1,2,0,
1,3,4,2,1,2,0,
1,3,5,2,,2,0,
1,3,6,4,,2,0,
1,3,7,4,,2,0,
1,3,8,2,,2,0,
1,3,9,2,,2,0,
1,4,1,3,,1,0,
1,4,2,2,,1,0,
1,4,3,2,,1,0,
1,4,4,10,,1,0,
1,4,5,11,,1,0,
1,4,6,11,,1,0,
1,4,7,10,,1,0,
1,4,8,10,,1,0,
1,4,9,11,,1,0,
1,4,10,11,,1,0,
1,4,11,1,,1,0,
1,5,1,3,,4,0,
1,5,2,3,,4,0,
1,5,3,3,,4,0,
1,5,4,3,1,4,0,
1,5,5,3,1,4,0,
